Reaction,Isozyme,Protein,Stoichiometry,KcatReverse,KcatForward
13701,A,PN96_RS05150,1,2.978790465217052,0.369379591978416
17737,A,PN96_RS13770,2,1.9473620058958865,4.612841224433043
24284,B,PN96_RS03220,2,0.062452444460223765,2.1849635817780495
24284,A,PN96_RS02955,2,1.494643487188068,0.993072006424186
oad,A,PN96_RS01245,1,0.10053540335088042,0.1889558418931868
oad,A,PN96_RS01240,1,0.10053540335088042,0.1889558418931868
oad,A,PN96_RS01235,1,0.10053540335088042,0.1889558418931868
18473,A,PN96_RS07905,2,0.0412249382085195,0.07894472882575236
20345,A,PN96_RS07425,1,0.38154932028230615,0.6412566821487495
41896,B,PN96_RS20950,1,2.5085809973874613,0.09152190491313492
41896,A,PN96_RS07515,1,0.7248353002130625,0.27295378605393233
15481,A,PN96_RS21240,2,1.7005839522582322,0.08843847434212596
15481,C,PN96_RS10090,2,0.03791723927534174,0.17193702065575178
14657,A,PN96_RS00955,2,0.8085796187872593,20.79112214939563
23700,A,PN96_RS09240,2,0.41854985865219924,0.055885371209287764
41804,B,PN96_RS17995,4,3.9662785556353057,12.986455480491706
41804,A,PN96_RS03555,4,0.2942616631036551,6.250468060095396
23476,A,PN96_RS03960,1,0.3582288567127832,0.7643811487485672
11596,A,PN96_RS03690,2,0.17925385777402802,0.22154381455381175
21096,A,PN96_RS14405,12,0.4009700115964629,0.38219987384035053
23744,A,PN96_RS07895,2,0.7207702452512799,2.4016480626983405
15761,B,PN96_RS14980,1,0.17241280752087693,2.6214629279040143
15761,A,PN96_RS11205,4,0.9083394853318143,1.444793590208453
22668,A,PN96_RS02365,1,0.02262550994707519,0.2324973289337747
22408,A,PN96_RS10215,1,0.0036557754500638317,0.04158195022756846
23104,A,PN96_RS00515,1,6.406089327287878,0.4097236624469483
27682,A,PN96_RS10630,4,0.7628476265111447,0.5808688675932777
28026,A,PN96_RS04115,2,0.304097694104395,1.61214596073598
28026,A,PN96_RS04120,2,0.304097694104395,1.61214596073598
15753,A,PN96_RS14775,2,0.016830419856178044,0.016766408134599058
19597,A,PN96_RS00590,1,0.13990736701749526,0.03691017484590002
38215,B,PN96_RS21965,1,4.444050193694649,5.811299885436603
38215,A,PN96_RS05360,1,12.027230618956482,2.245360394872251
20013,A,PN96_RS00575,6,0.4970735095824683,2.848324582594436
20013,A,PN96_RS00570,6,0.4970735095824683,2.848324582594436
34171,B,PN96_RS19840,4,3.8867039360755777,0.48675297872038203
34171,A,PN96_RS02525,4,0.6023852572590749,0.6411985877365819
15009,A,PN96_RS11815,1,0.565132116700999,10.944263508670467
15393,A,PN96_RS14075,2,1.254296616987995,5.172311995771794
10840,A,PN96_RS11195,1,1.613331213913801,0.8261327333363264
19833,A,PN96_RS09315,6,0.15198374560157576,5.435082888724556
41808,B,PN96_RS05720,2,8.833904162918058,0.4954372721238194
41808,A,PN96_RS02355,1,8.67582958403872,7.6878212182383585
19821,A,PN96_RS14985,4,0.18806873175993324,0.2013336224931881
41844,B,PN96_RS05720,2,2.044997117155502,0.14356777114564254
41844,A,PN96_RS02355,1,0.4825132748723949,0.6303434773939498
13509,A,PN96_RS13610,3,0.2977906861034416,0.036591000298514496
28042,A,PN96_RS01365,24,6.82516106297727,1.6684759059674243
28042,A,PN96_RS01375,24,6.82516106297727,1.6684759059674243
28042,A,PN96_RS01370,24,6.82516106297727,1.6684759059674243
